start;entry_value;entry_step;max_before_entry;ratio_max_before_entry;total_steps_to_1;steps_from_entry_to_1;start_mod_1024;start_mod_4096;start_mod_65536
2080383;8216025965;70;8216025965;3949.285283046439;133;63;639;3711;48767
1643759;8216025965;74;8216025965;4998.315425193109;137;63;239;1263;5359
1095839;8216025965;75;8216025965;7497.475418378065;138;63;159;2207;47263
2191679;8216025965;75;8216025965;3748.7359987479917;138;63;319;319;28991
730559;8216025965;76;8216025965;11246.218258894902;139;63;447;1471;9663
1461119;8216025965;76;8216025965;5623.105280952475;139;63;895;2943;19327
487039;8216025965;77;8216025965;16869.33893384308;140;63;639;3711;28287
974079;8216025965;77;8216025965;8434.660807798957;140;63;255;3327;56575
1948157;8216025965;77;8216025965;4217.332568679013;140;63;509;2557;47613
649385;8216025965;78;8216025965;12652.010694734248;141;63;169;2217;59561
1298771;8216025965;78;8216025965;6326.00047660442;141;63;339;339;53587
432923;8216025965;79;8216025965;18978.030654411985;142;63;795;2843;39707
865847;8216025965;79;8216025965;9489.004367977252;142;63;567;1591;13879
1731693;8216025965;79;8216025965;4744.504923794229;142;63;109;3181;27757
288615;8216025965;80;8216025965;28467.078859380144;143;63;871;1895;26471
577231;8216025965;80;8216025965;14233.514771382688;143;63;719;3791;52943
1154461;8216025965;80;8216025965;7116.76355026285;143;63;413;3485;40349
2308925;8216025965;80;8216025965;3558.3771517047976;143;63;829;2877;15165
769641;8216025965;81;8216025965;10675.140701963643;144;63;617;3689;48745
1539281;8216025965;81;8216025965;5337.5738185555465;144;63;209;3281;31953
1539283;8216025965;81;8216025965;5337.566883412602;144;63;211;3283;31955
1026187;8216025965;82;8216025965;8006.363328516148;145;63;139;2187;43147
2052375;8216025965;82;8216025965;4003.1797137462695;145;63;279;279;20759
2052377;8216025965;82;8216025965;4003.1758127283633;145;63;281;281;20761
1368249;8216025965;83;8216025965;6004.773959272033;146;63;185;185;57529
1368251;8216025965;83;8216025965;6004.765181973191;146;63;187;187;57531
912167;8216025965;84;8216025965;9007.151064443244;147;63;807;2855;60199
1824335;8216025965;84;8216025965;4503.5730636094795;147;63;591;1615;54863
608111;8216025965;85;8216025965;13510.73400250941;148;63;879;1903;18287
1216223;8216025965;85;8216025965;6755.361446872818;148;63;735;3807;36575
405407;8216025965;86;8216025965;20266.117666937178;149;63;927;3999;12191
810815;8216025965;86;8216025965;10133.04633609393;149;63;831;3903;24383
1621629;8216025965;86;8216025965;5066.526292388703;149;63;637;3709;48765
270271;8216025965;87;8216025965;30399.21399262222;150;63;959;4031;8127
540543;8216025965;87;8216025965;15199.578877166108;150;63;895;3967;16255
1081085;8216025965;87;8216025965;7599.796468362802;150;63;765;3837;32509
2162171;8216025965;87;8216025965;3799.8964767356515;150;63;507;3579;65019
2162173;8216025965;87;8216025965;3799.892961849029;150;63;509;3581;65021
360361;8216025965;88;8216025965;22799.43158388394;151;63;937;4009;32681
720723;8216025965;88;8216025965;11399.699974886329;151;63;851;3923;65363
1441445;8216025965;88;8216025965;5699.853941704331;151;63;677;3749;65189
1441447;8216025965;88;8216025965;5699.846033187485;151;63;679;3751;65191
480481;8216025965;89;8216025965;17099.585550729375;152;63;225;1249;21729
960963;8216025965;89;8216025965;8549.783878255459;152;63;451;2499;43459
1921925;8216025965;89;8216025965;4274.894163403879;152;63;901;901;21381
1921929;8216025965;89;8216025965;4274.885266313167;152;63;905;905;21385
1921931;8216025965;89;8216025965;4274.8808177817;152;63;907;907;21387
640641;8216025965;90;8216025965;12824.695835889366;153;63;641;1665;50817
1281283;8216025965;90;8216025965;6412.342913314233;153;63;259;3331;36099
1281287;8216025965;90;8216025965;6412.322894870548;153;63;263;3335;36103
854191;8216025965;91;8216025965;9618.48809575376;154;63;175;2223;2223
1708377;8216025965;91;8216025965;4809.258123353335;154;63;345;345;4441
1708383;8216025965;91;8216025965;4809.241232791476;154;63;351;351;4447
1138921;8216025965;92;8216025965;7213.868183131227;155;63;233;233;24809
2277835;8216025965;92;8216025965;3606.945176011432;155;63;459;459;49611
2277843;8216025965;92;8216025965;3606.932508078915;155;63;467;467;49619
1518561;8216025965;93;8216025965;5410.402324964226;156;63;993;3041;11233
2024743;8216025965;94;8216025965;4057.811764258476;157;63;295;1319;58663
1799771;8216025965;96;8216025965;4565.039643932478;159;63;603;1627;30299
1199847;8216025965;97;8216025965;6847.561368241118;160;63;743;3815;20199
2399695;8216025965;97;8216025965;3423.7792573639567;160;63;463;3535;40399
1896063;8216025965;101;8216025965;4333.203044941018;164;63;639;3711;61055
