trunk_step;value;v2_from_previous
0;8216025965;1
1;3081009737;3
2;2310757303;2
3;3466135955;1
4;5199203933;1
5;1949701475;3
6;2924552213;1
7;137088385;6
8;102816289;2
9;77112217;2
10;57834163;2
11;86751245;1
12;32531717;3
13;6099697;4
14;4574773;2
15;428885;5
16;2513;9
17;1885;2
18;707;3
19;1061;1
20;199;4
21;299;1
22;449;1
23;337;2
24;253;2
25;95;3
26;143;1
27;215;1
28;323;1
29;485;1
30;91;4
31;137;1
32;103;2
33;155;1
34;233;1
35;175;2
36;263;1
37;395;1
38;593;1
39;445;2
40;167;3
41;251;1
42;377;1
43;283;2
44;425;1
45;319;2
46;479;1
47;719;1
48;1079;1
49;1619;1
50;2429;1
51;911;3
52;1367;1
53;2051;1
54;3077;1
55;577;4
56;433;2
57;325;2
58;61;4
59;23;3
60;35;1
61;53;1
62;5;5
63;1;4
