trunk_step;value;v2_from_previous;ratio_to_start;log_value;cumulative_v2;critical_required_v2;surplus_v2;debt_v2;avg_v2_so_far;drop_ratio_from_previous
0;8216025965;1;1.0;22.829352469864656;0;0.0;0.0;0.0;0.0;1.0
1;3081009737;3;0.37500000001521416;21.8485232168935;3;1.584962500721156;1.415037499278844;-1.415037499278844;3.0;0.37500000001521416
2;2310757303;2;0.281250000041839;21.560841144549908;5;3.169925001442312;1.8300749985576878;-1.8300749985576878;2.5;0.7500000000811422
3;3466135955;1;0.4218750001236151;21.966306252802326;6;4.754887502163468;1.2451124978365318;-1.2451124978365318;2.0;1.5000000002163794
4;5199203933;1;0.6328125002462793;22.371771361006658;7;6.339850002884624;0.6601499971153757;-0.6601499971153757;1.75;1.5000000001442528
5;1949701475;3;0.23730468760756893;21.390942108059047;10;7.92481250360578;2.0751874963942196;-2.0751874963942196;2.0;0.37500000002404216
6;2924552213;1;0.3559570314722101;21.796407216338178;11;9.509775004326936;1.4902249956730635;-1.4902249956730635;1.8333333333333333;1.5000000002564495
7;137088385;6;0.01668548585216162;18.73613642176059;17;11.094737505048093;5.9052624949519075;-5.9052624949519075;2.4285714285714284;0.0468750000053427
8;102816289;2;0.01251411441954955;18.44845435174033;19;12.679700005769249;6.320299994230751;-6.320299994230751;2.375;0.750000001823641
9;77112217;2;0.009385585845090498;18.16077228253058;21;14.264662506490405;6.735337493509595;-6.735337493509595;2.3333333333333335;0.7500000024315213
10;57834163;2;0.00703918941424621;17.873090214401504;23;15.84962500721156;7.150374992788439;-7.150374992788439;2.3;0.7500000032420284
11;86751245;1;0.010558784182225988;18.278555328273274;24;17.43458750793272;6.565412492067281;-6.565412492067281;2.1818181818181817;1.500000008645409
12;32531717;3;0.003959544083548913;17.297726079103953;27;19.019550008653873;7.980449991346127;-7.980449991346127;2.25;0.3750000014409015
13;6099697;4;0.0007424145232725052;15.62374965577869;31;20.604512509375027;10.395487490624973;-10.395487490624973;2.3846153846153846;0.187500001921202
14;4574773;2;0.0005568109228827152;15.336067637974432;33;22.189475010096185;10.810524989903815;-10.810524989903815;2.357142857142857;0.7500000409856424
15;428885;5;5.220102782379656e-05;12.968944096706172;38;23.774437510817343;14.225562489182657;-14.225562489182657;2.533333333333333;0.09375000683094002
16;2513;9;3.0586563512643425e-07;7.829232537543592;47;25.359400011538497;21.640599988461503;-21.640599988461503;2.9375;0.005859379553959686
17;1885;2;2.294296546809903e-07;7.541683099882111;49;26.94436251225965;22.05563748774035;-22.05563748774035;2.8823529411764706;0.7500994826900119
18;707;3;8.605133467345365e-08;6.561030665896573;52;28.52932501298081;23.47067498701919;-23.47067498701919;2.888888888888889;0.3750663129973475
19;1061;1;1.2913785868250965e-07;6.966967138613983;53;30.114287513701967;22.885712486298033;-22.885712486298033;2.789473684210526;1.5007072135785007
20;199;4;2.4220955587011707e-08;5.293304824724492;57;31.69925001442312;25.30074998557688;-25.30074998557688;2.85;0.1875589066918002
21;299;1;3.6392290052846735e-08;5.700443573390687;58;33.284212515144276;24.715787484855724;-24.715787484855724;2.761904761904762;1.5025125628140703
22;449;1;5.464929175159928e-08;6.1070228877422545;59;34.86917501586544;24.130824984134563;-24.130824984134563;2.6818181818181817;1.5016722408026757
23;337;2;4.1017397149864044e-08;5.820082930352362;61;36.45413751658659;24.54586248341341;-24.54586248341341;2.652173913043478;0.7505567928730512
24;253;2;3.0793476198562624e-08;5.53338948872752;63;38.039100017307746;24.960899982692254;-24.960899982692254;2.625;0.7507418397626113
25;95;3;1.1562767742543276e-08;4.553876891600541;66;39.6240625180289;26.3759374819711;-26.3759374819711;2.64;0.37549407114624506
26;143;1;1.740500828614409e-08;4.962844630259907;67;41.209025018750054;25.790974981249946;-25.790974981249946;2.576923076923077;1.5052631578947369
27;215;1;2.6168369101545312e-08;5.3706380281276624;68;42.793987519471216;25.206012480528784;-25.206012480528784;2.5185185185185186;1.5034965034965035
28;323;1;3.931341032464714e-08;5.777652323222656;69;44.37895002019237;24.62104997980763;-24.62104997980763;2.4642857142857144;1.5023255813953489
29;485;1;5.903097215929989e-08;6.184148890937483;70;45.963912520913524;24.036087479086476;-24.036087479086476;2.413793103448276;1.501547987616099
30;91;4;1.1075914363909875e-08;4.51085950651685;74;47.548875021634686;26.451124978365314;-26.451124978365314;2.466666666666667;0.18762886597938144
31;137;1;1.6674728218193988e-08;4.919980925828125;75;49.13383752235584;25.86616247764416;-25.86616247764416;2.4193548387096775;1.5054945054945055
32;103;2;1.2536474499810079e-08;4.634728988229636;77;50.718800023076994;26.281199976923006;-26.281199976923006;2.40625;0.7518248175182481
33;155;1;1.8865568422044294e-08;5.043425116919247;78;52.30376252379815;25.69623747620185;-25.69623747620185;2.3636363636363638;1.5048543689320388
34;233;1;2.8359209305395618e-08;5.4510384535657;79;53.8887250245193;25.111274975480697;-25.111274975480697;2.323529411764706;1.5032258064516129
35;175;2;2.12998353152113e-08;5.1647859739235145;81;55.473687525240464;25.526312474759536;-25.526312474759536;2.3142857142857145;0.7510729613733905
36;263;1;3.2010609645146124e-08;5.572154032177765;82;57.05865002596162;24.94134997403838;-24.94134997403838;2.2777777777777777;1.502857142857143
37;395;1;4.8076771140048365e-08;5.978885764901122;83;58.64361252668277;24.356387473317227;-24.356387473317227;2.2432432432432434;1.5019011406844107
38;593;1;7.217601338240172e-08;6.385194398997726;84;60.228575027403934;23.771424972596066;-23.771424972596066;2.210526315789474;1.5012658227848101
39;445;2;5.416243837296588e-08;6.09807428216624;86;61.81353752812509;24.18646247187491;-24.18646247187491;2.2051282051282053;0.7504215851602024
40;167;3;2.0326128557944497e-08;5.117993812416755;89;63.39850002884624;25.601499971153757;-25.601499971153757;2.225;0.3752808988764045
41;251;1;3.055004950924592e-08;5.5254529391317835;90;64.9834625295674;25.016537470432596;-25.016537470432596;2.1951219512195124;1.5029940119760479
42;377;1;4.5885930936198056e-08;5.932245187448011;91;66.56842503028855;24.43157496971145;-24.43157496971145;2.1666666666666665;1.50199203187251
43;283;2;3.444487653831313e-08;5.645446897643238;93;68.15338753100971;24.846612468990287;-24.846612468990287;2.1627906976744184;0.7506631299734748
44;425;1;5.172817147979887e-08;6.052089168924417;94;69.73835003173087;24.261649968269126;-24.261649968269126;2.1363636363636362;1.5017667844522968
45;319;2;3.882655694601374e-08;5.765191102784844;96;71.32331253245202;24.67668746754798;-24.67668746754798;2.1333333333333333;0.7505882352941177
46;479;1;5.8300692091349785e-08;6.171700597410915;97;72.90827503317318;24.091724966826817;-24.091724966826817;2.108695652173913;1.5015673981191222
47;719;1;8.751189480935386e-08;6.577861357721047;98;74.49323753389433;23.50676246610567;-23.50676246610567;2.0851063829787235;1.501043841336117
48;1079;1;1.3132869888635996e-07;6.983789965258135;99;76.07820003461549;22.92179996538451;-22.92179996538451;2.0625;1.5006954102920724
49;1619;1;1.9705390500186912e-07;7.389563953677635;100;77.66316253533665;22.336837464663347;-22.336837464663347;2.0408163265306123;1.500463392029657
50;2429;1;2.9564171417513284e-07;7.795234929002173;101;79.2481250360578;21.7518749639422;-21.7518749639422;2.02;1.5003088326127239
51;911;3;1.1088085698375711e-07;6.814542897259958;104;80.83308753677896;23.16691246322104;-23.16691246322104;2.0392156862745097;0.3750514615067929
52;1367;1;1.6638214214796485e-07;7.220373836723949;105;82.41805003750011;22.58194996249989;-22.58194996249989;2.019230769230769;1.5005488474204172
53;2051;1;2.4963406989427646e-07;7.62608275807238;106;84.00301253822127;21.99698746177873;-21.99698746177873;2.0;1.5003657644476958
54;3077;1;3.745119615137438e-07;8.031710375322042;107;85.58797503894243;21.41202496105757;-21.41202496105757;1.9814814814814814;1.500243783520234
55;577;4;7.022859986786812e-08;6.3578422665081;111;87.17293753966358;23.82706246033642;-23.82706246033642;2.018181818181818;0.1875203119922002
56;433;2;5.2701878237065674e-08;6.07073772800249;113;88.75790004038474;24.24209995961526;-24.24209995961526;2.017857142857143;0.7504332755632582
57;325;2;3.955683701396384e-08;5.783825182329737;115;90.3428625411059;24.6571374588941;-24.6571374588941;2.017543859649123;0.7505773672055427
58;61;4;7.4245140241593674e-09;4.110873864173311;119;91.92782504182705;27.07217495817295;-27.07217495817295;2.0517241379310347;0.18769230769230769
59;23;3;2.7994069271420564e-09;3.1354942159291497;122;93.51278754254821;28.48721245745179;-28.48721245745179;2.0677966101694913;0.3770491803278688
60;35;1;4.25996706304226e-09;3.5553480614894135;123;95.09775004326937;27.90224995673063;-27.90224995673063;2.05;1.5217391304347827
61;53;1;6.450807266892565e-09;3.970291913552122;124;96.68271254399052;27.31728745600948;-27.31728745600948;2.0327868852459017;1.5142857142857142
62;5;5;6.085667232917515e-10;1.6094379124341003;129;98.26767504471168;30.73232495528832;-30.73232495528832;2.0806451612903225;0.09433962264150944
63;1;4;1.217133446583503e-10;0.0;133;99.85263754543283;33.14736245456717;-33.14736245456717;2.111111111111111;0.2
