lambda;rho;total;failures_log;failures_h;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio
0.2;0.92;2499999;0;0;3.487790995116398;3.468826187530475;141;141;90634;12134;2397231;0.0362536145014458;0.004853601941440777;0.9588927835571134
0.2;0.94;2499999;0;0;3.487790995116398;3.464720585888234;141;141;100512;14068;2385419;0.040204816081926435;0.005627202250880901;0.9541679816671926
0.2;0.96;2499999;0;0;3.487790995116398;3.456091782436713;141;141;110070;14939;2374990;0.044028017611207046;0.005975602390240956;0.949996379998552
0.2;0.97;2499999;0;0;3.487790995116398;3.448856979542792;141;141;115641;14813;2369545;0.0462564185025674;0.005925202370080948;0.9478183791273517
0.2;0.98;2499999;0;0;3.487790995116398;3.4321481728592693;141;141;121759;11585;2366655;0.048703619481447795;0.004634001853600742;0.9466623786649515
0.2;0.99;2499999;0;0;3.487790995116398;3.3870341548136618;141;141;131071;3045;2365883;0.05242842097136839;0.0012180004872001948;0.9463535785414314
0.3;0.92;2499999;0;0;3.487790995116398;3.4105597642239056;141;141;245141;16424;2238434;0.09805643922257569;0.006569602627841051;0.8953739581495832
0.3;0.94;2499999;0;0;3.487790995116398;3.3984129593651837;141;141;256818;17555;2225626;0.10272724109089644;0.007022002808801124;0.8902507561003025
0.3;0.96;2499999;0;0;3.487790995116398;3.379352551741021;141;141;269037;18584;2212378;0.10761484304593721;0.00743360297344119;0.8849515539806216
0.3;0.97;2499999;0;0;3.487790995116398;3.3679733471893387;141;141;277760;19463;2202776;0.11110404444161778;0.007785203114081245;0.8811107524443009
0.3;0.98;2499999;0;0;3.487790995116398;3.3466705386682154;141;141;289333;19168;2191498;0.11573324629329852;0.007667203066881227;0.8765995506398202
0.3;0.99;2499999;0;0;3.487790995116398;3.3097749239099694;141;141;298006;13501;2188492;0.11920244768097907;0.005400402160160864;0.8753971501588601
0.4;0.92;2499999;0;0;3.487790995116398;3.456023782409513;141;141;285814;35769;2178416;0.11432564573025829;0.014307605723042289;0.8713667485466994
0.4;0.94;2499999;0;0;3.487790995116398;3.4344369737747895;141;141;302988;34028;2162983;0.12119524847809938;0.013611205444482178;0.8651935460774184
0.4;0.96;2499999;0;0;3.487790995116398;3.392574157029663;141;141;319449;29886;2150664;0.12777965111186043;0.011954404781761912;0.8602659441063777
0.4;0.97;2499999;0;0;3.487790995116398;3.361248944499578;141;141;325999;27432;2146568;0.13039965215986085;0.010972804389121755;0.8586275434510173
0.4;0.98;2499999;0;0;3.487790995116398;3.3152269260907703;141;141;338842;24629;2136528;0.13553685421474168;0.009851603940641575;0.8546115418446167
0.4;0.99;2499999;0;0;3.487790995116398;3.2660977064390826;141;141;346258;21886;2131855;0.13850325540130215;0.0087544035017614;0.8527423410969365
0.5;0.92;2499999;0;0;3.487790995116398;3.473490989396396;141;141;325486;56216;2118297;0.13019445207778083;0.022486408994563598;0.8473191389276555
0.5;0.94;2499999;0;0;3.487790995116398;3.458116583246633;141;141;343448;58219;2098332;0.13737925495170197;0.023287609315043725;0.8393331357332543
0.5;0.96;2499999;0;0;3.487790995116398;3.400849760339904;141;141;392535;54794;2052670;0.15701406280562513;0.021917608767043507;0.8210683284273314
0.5;0.97;2499999;0;0;3.487790995116398;3.3721901488760597;141;141;399927;51773;2048299;0.1599708639883456;0.020709208283683313;0.8193199277279711
0.5;0.98;2499999;0;0;3.487790995116398;3.31117372446949;141;141;406239;39561;2054199;0.162495664998266;0.015824406329762532;0.8216799286719715
0.5;0.99;2499999;0;0;3.487790995116398;3.214790485916194;141;141;423209;29619;2047171;0.1692836677134671;0.011847604739041895;0.8188687275474911
0.6;0.92;2499999;0;0;3.487790995116398;3.443609377443751;141;141;391325;62246;2046428;0.15653006261202504;0.024898409959363984;0.818571527428611
0.6;0.94;2499999;0;0;3.487790995116398;3.4399145759658305;141;141;406431;69944;2023624;0.162572465028986;0.027977611191044475;0.8094499237799695
0.6;0.96;2499999;0;0;3.487790995116398;3.4153113661245467;141;141;438559;75992;1985448;0.17542367016946805;0.030396812158724862;0.7941795176718071
0.6;0.97;2499999;0;0;3.487790995116398;3.3916929566771827;141;141;445242;77411;1977346;0.17809687123874848;0.030964412385764955;0.7909387163754865
0.6;0.98;2499999;0;0;3.487790995116398;3.3521509408603762;141;141;455426;76923;1967650;0.18217047286818916;0.030769212307684923;0.787060314824126
0.6;0.99;2499999;0;0;3.487790995116398;3.2427704971081988;141;140;469155;54869;1975975;0.18766207506483001;0.02194760877904351;0.7903903161561264
