K,M_total,M_expanding,R_K,M_by_ell
3,1,1,0.0106203125901,2:1
4,2,1,0.0157268229617,2:1 3:1
5,5,1,0.0104675781475,2:2 3:2 4:1
6,8,3,0.0086701172213,2:2 3:3 4:2 5:1
7,17,4,0.0076029948142,2:3 3:5 4:5 5:3 6:1
8,29,4,0.00467575335948,2:3 3:7 4:8 5:7 6:3 7:1
9,55,14,0.00472972239695,2:4 3:9 4:14 5:14 6:9 7:4 8:1
10,98,17,0.00360390064286,2:4 3:12 4:20 5:25 6:20 7:12 8:4 9:1
11,185,51,0.00285845668106,2:5 3:15 4:30 5:42 6:42 7:30 8:15 9:5 10:1
12,334,64,0.0025260475965,2:5 3:18 4:40 5:66 6:75 7:66 8:40 9:18 10:5 11:1
13,629,84,0.00206520546776,2:6 3:22 4:55 5:99 6:132 7:132 8:99 9:55 10:22 11:6 12:1
14,1160,246,0.00172659293,2:6 3:26 4:70 5:143 6:212 7:245 8:212 9:143 10:70 11:26 12:6 13:1
15,2181,329,0.00154765020746,2:7 3:30 4:91 5:200 6:333 7:429 8:429 9:333 10:200 11:91 12:30 13:7 14:1
16,4079,428,0.00121759213472,2:7 3:35 4:112 5:273 6:497 7:715 8:800 9:715 10:497 11:273 12:112 13:35 14:7 15:1
17,7709,1281,0.00112763877374,2:8 3:40 4:140 5:364 6:728 7:1144 8:1430 9:1430 10:1144 11:728 12:364 13:140 14:40 15:8 16:1
18,14531,1724,0.000970228594349,2:8 3:45 4:168 5:476 6:1026 7:1768 8:2424 9:2700 10:2424 11:1768 12:1026 13:476 14:168 15:45 16:8 17:1
19,27593,4957,0.00078188683575,2:9 3:51 4:204 5:612 6:1428 7:2652 8:3978 9:4862 10:4862 11:3978 12:2652 13:1428 14:612 15:204 16:51 17:9 18:1
20,52376,6890,0.000749463957262,2:9 3:57 4:240 5:775 6:1932 7:3876 8:6288 9:8398 10:9225 11:8398 12:6288 13:3876 14:1932 15:775 16:240 17:57 18:9 19:1
